psp	pair_count	engine_rows	provider_rows	engine_usd	provider_usd	total_diff	matched_usd	explained_usd	unexplained_usd	residual
adyen	1738.0	1736.0	1738.0	32912.09	32796.14	-115.95	0.0	-115.95	0.0	0.0
dlocal	1280.0	1280.0	1279.0	215642.53	14949.48	-200693.05	0.0	-200693.05	0.0	0.0
google_play	776.0	776.0	776.0	14744.63	14744.63	0.0	0.0	0.0	0.0	0.0
paypal_eu	1833.0	1831.0	1833.0	36323.01	36197.37	-125.64	0.0	-125.64	0.0	0.0
paypal_us	2092.0	2092.0	2092.0	36046.31	36081.29	34.98	0.0	34.98	0.0	0.0
total	7719.0	7715.0	7718.0	335668.57	134768.91	-200899.66	0.0	-200899.66	0.0	0.0
